review_id,review_rating,review_sentences,label
ygfz2VvkgvC9eYxst8hGig,1,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,Negative
ygfz2VvkgvC9eYxst8hGig,1,Boy was this sad.,Negative
ygfz2VvkgvC9eYxst8hGig,1,I was bummed at first sight.,Negative
ygfz2VvkgvC9eYxst8hGig,1,The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look.,Somewhat negative
ygfz2VvkgvC9eYxst8hGig,1,"The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!""",Somewhat negative
ygfz2VvkgvC9eYxst8hGig,1,But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food?,Negative
ygfz2VvkgvC9eYxst8hGig,1,"So our ""meal"" was not good from start to finish.",Negative
ygfz2VvkgvC9eYxst8hGig,1,The staff needs some real training.,Negative
ygfz2VvkgvC9eYxst8hGig,1,The training videos don't seem to be translating into real life results.,Negative
ygfz2VvkgvC9eYxst8hGig,1,The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money?,Somewhat negative
ygfz2VvkgvC9eYxst8hGig,1,Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs.,neutral
ygfz2VvkgvC9eYxst8hGig,1,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",Somewhat negative
ygfz2VvkgvC9eYxst8hGig,1,"This is where I am at a loss regard Ruby's, ""What is special about the place that really move the meter?""",Somewhat negative
ygfz2VvkgvC9eYxst8hGig,1,Ribs are back!,neutral
ygfz2VvkgvC9eYxst8hGig,1,"But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street.",Somewhat Positive
ygfz2VvkgvC9eYxst8hGig,1,"The parking lot sets the tone, the front entry and btw ""What is that smell in the entry way?""",Somewhat Negative
ygfz2VvkgvC9eYxst8hGig,1,Fix that asap or..well you know.,Somewhat Negative
ygfz2VvkgvC9eYxst8hGig,1,That whole first impressions thing...wow that was just wrong.,Negative
ygfz2VvkgvC9eYxst8hGig,1,That did not say delicious food ahead.,Negative
ygfz2VvkgvC9eYxst8hGig,1,What we discovered was we were wrong for not heeding this lil warning.,Somewhat Negative
ygfz2VvkgvC9eYxst8hGig,1,No attention at the front and waitresses looked at us but did nothing.,Negative
ygfz2VvkgvC9eYxst8hGig,1,Great why make us wait that long when the place was so empty on a Friday night prime dinner time.,Negative
ygfz2VvkgvC9eYxst8hGig,1,The service was not great but it was not the servers fault (We tipped strong because we feel her pain) but then the wait time for an empty restaurant seemed a bit long but not end of the world long.,Neutral
ygfz2VvkgvC9eYxst8hGig,1,The food however was a massive disappointment.,Negative
ygfz2VvkgvC9eYxst8hGig,1,I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying.,Neutral
ygfz2VvkgvC9eYxst8hGig,1,This was neither of those.,Negative
ygfz2VvkgvC9eYxst8hGig,1,"What I did wrong to was tried to reduce the stress of an already uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not.",Somewhat Negative
ygfz2VvkgvC9eYxst8hGig,1,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",Neutral
ygfz2VvkgvC9eYxst8hGig,1,"My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go!",Neutral
ygfz2VvkgvC9eYxst8hGig,1,But not so much.,
ygfz2VvkgvC9eYxst8hGig,1,,
ygfz2VvkgvC9eYxst8hGig,1,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good.",Neutral
ygfz2VvkgvC9eYxst8hGig,1,"The seating is uncomfortable and I get that may be a wise choice if you are trying to speed up table turnover, this place needs to do anything it can to be remotely appealing.",Somewhat Negative
ygfz2VvkgvC9eYxst8hGig,1,"Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything.",Negative
ygfz2VvkgvC9eYxst8hGig,1,Seasonings would be a plus.,
ygfz2VvkgvC9eYxst8hGig,1,I am at a loss how this store is open.,Negative
ygfz2VvkgvC9eYxst8hGig,1,If I owned it I would close it and start over.,Negative
ygfz2VvkgvC9eYxst8hGig,1,"This needs so much it will take big money time and a team of sincerely commited experts to focus on the entire concept of community involvement, promotion, building, planning, execution, hiring, training, and everything required to get a winning recipe.",
ygfz2VvkgvC9eYxst8hGig,1,They need to call Robert Irvine from the Food TV Network to revamp everything or something.,
ygfz2VvkgvC9eYxst8hGig,1,The place needs something more than just a signature salad to win as a restaurant.,
ygfz2VvkgvC9eYxst8hGig,1,If the kitchen is not producing food of a high enough quality as prices are out of control people will not step up and open our wallets for mediocrity.,
ygfz2VvkgvC9eYxst8hGig,1,The next time I set foot in one the BurgerPalace they will need to have made some big changes.,
ygfz2VvkgvC9eYxst8hGig,1,"Nothing personal more of a ""To my standards"" Issue.",
ygfz2VvkgvC9eYxst8hGig,1,"Prove me wrong you guys I want to see you do well I am rooting for you, but you have a mountain of challenge to overcome.",
ygfz2VvkgvC9eYxst8hGig,1,"I will be watching to see you make me eat my words by doing all the right things, however I will be watching from afar.",
ygfz2VvkgvC9eYxst8hGig,1,FWIW,
b3hU0QXM4DQ77LvJkm4H-g,5,"My signature salad at BurgerPalace Yummy, yummy, yum!I already placed my order for my meal and drink.",positive
b3hU0QXM4DQ77LvJkm4H-g,5,No drinking tonight.,neutral
b3hU0QXM4DQ77LvJkm4H-g,5,It's not crowded here right now.,Somewhat positive
b3hU0QXM4DQ77LvJkm4H-g,5,That makes things more enjoyable.,positive
3QFvz5edaWmnbGwxyN6PNA,1,"Have been going here for years on a very, very occasional basis and it never totally sucked.",Somewhat positive
3QFvz5edaWmnbGwxyN6PNA,1,"It had always been a mediocre experience in food quality and service, but it was convenient...this recent visit will most definitely be my last.",Negative
3QFvz5edaWmnbGwxyN6PNA,1,First thing I noticed was the sticky table...then the sticky menus...then the sticky salt and pepper shakers...onto the ketchup bottle and beyond.,Negative
3QFvz5edaWmnbGwxyN6PNA,1,Yuk.,Negative
3QFvz5edaWmnbGwxyN6PNA,1,"Against my better judgement, I ordered coffee.",Somewhat negative
3QFvz5edaWmnbGwxyN6PNA,1,Big mistake.,Negative
3QFvz5edaWmnbGwxyN6PNA,1,"It was coffee, I guess, but litereally tasteless.",Negative
3QFvz5edaWmnbGwxyN6PNA,1,Then I ordered chicken tenders and CRISPY fries.,Somewhat negative
3QFvz5edaWmnbGwxyN6PNA,1,"If I order fries, I specifically order them well done because they are normally underdone no matter where you go and browning them negates some of the greasiness.",Somewhat negative
3QFvz5edaWmnbGwxyN6PNA,1,"Obviously, the waitress (yes, I use gender specific labels...sue me.",
3QFvz5edaWmnbGwxyN6PNA,1,"I was a waitress for years and never took offense at being referred to as such) misunderstood my request and brought out a plate of rock-hard chicken tender-looking things with dried out, stringy white meat inside and a pile of underdone, whitish, mealy fries.",Negative
3QFvz5edaWmnbGwxyN6PNA,1,Even the GMO corn syrup-laden pseudo-ketchup didn't help.,
3QFvz5edaWmnbGwxyN6PNA,1,"The waitress was polite enough, but obviously over worked as she was serving at tables and behind the bar, then apparently forgot I was there and I had to stand up and leave the table to get her attention.",Negative
3QFvz5edaWmnbGwxyN6PNA,1,All I wanted to do was pay and get out of there.,Negative
3QFvz5edaWmnbGwxyN6PNA,1,"The ""hostess"" intervened and asked what I wanted.",neutral
3QFvz5edaWmnbGwxyN6PNA,1,I said all I want is the check and to leave.,neutral
3QFvz5edaWmnbGwxyN6PNA,1,She took that as an insult and accused me of yelling at her.,Negative
3QFvz5edaWmnbGwxyN6PNA,1,"Seriously, I did not yell at her.",Somewhat negative
3QFvz5edaWmnbGwxyN6PNA,1,She obviously was having a bad day.,Neutral
3QFvz5edaWmnbGwxyN6PNA,1,"I pointed out that I was aware they are understaffed, as is every restaurant in the country...still, not my fault.",Somewhat negative
3QFvz5edaWmnbGwxyN6PNA,1,$15 to $20 for a plate of ...whatever...,Somewhat negative
3QFvz5edaWmnbGwxyN6PNA,1,I expect a little better quality and service.,Somewhat negative
3QFvz5edaWmnbGwxyN6PNA,1,"That said, not a nice experience and not a clean environment.",Negative
P2vwgdFSB8EFUAOOBBj_dQ,4,I figured I would try BurgerPalace again since it's been quite a while since I went and got sick from their food.,Neutral
P2vwgdFSB8EFUAOOBBj_dQ,4,Yesterday I ordered the salad bar and I loved it!,Positive
P2vwgdFSB8EFUAOOBBj_dQ,4,Our waitress was super nice too!!,Positive
P2vwgdFSB8EFUAOOBBj_dQ,4,"The restaurant was clean, everything was fresh and my friend and I just had a nice experience.",Positive
P2vwgdFSB8EFUAOOBBj_dQ,4,The bathroom was even clean which I was really surprised by!!,Positive
P2vwgdFSB8EFUAOOBBj_dQ,4,I will say the salad bar is definitely not worth $15 though.,Somewhat negative
P2vwgdFSB8EFUAOOBBj_dQ,4,"I suggest ordering a meal and adding the salad bar to it, and you can just take your meal home with you.",Neutral
P2vwgdFSB8EFUAOOBBj_dQ,4,It actually can be cheaper and you get more for your money.,Somewhat positive
P2vwgdFSB8EFUAOOBBj_dQ,4,I will be back for sure!!,Positive
a05LFqlf_hojMUVgwkg0GQ,1,It's getting horrible to find a nice decent Restaurant here in Middletown NY,Somewhat negative
a05LFqlf_hojMUVgwkg0GQ,1,My oldest son wanted to know where I wanted To go for Mother's Day todayI told him BurgerPalace,Neutral
a05LFqlf_hojMUVgwkg0GQ,1,Well - it was just horrible !,Negative
a05LFqlf_hojMUVgwkg0GQ,1,Look it's not About the price !,Somewhat negative
a05LFqlf_hojMUVgwkg0GQ,1,It's all about what they offer & service !,Somewhat negative
a05LFqlf_hojMUVgwkg0GQ,1,About 2-3 years ago they had this great Offer on this day The entire dinner & including desert For a low price !,Somewhat positive
a05LFqlf_hojMUVgwkg0GQ,1,It was awesome !,Positive
a05LFqlf_hojMUVgwkg0GQ,1,The girl got my drink order Wrong ! When she did finally come backTo check I told her !,Negative
a05LFqlf_hojMUVgwkg0GQ,1,"She was going to fix it, I told her don't Bother !",Somewhat negative
a05LFqlf_hojMUVgwkg0GQ,1,They were putting dirty salad plates out On the salad bar !,Negative
a05LFqlf_hojMUVgwkg0GQ,1,Who does this I ask you ???,
a05LFqlf_hojMUVgwkg0GQ,1,I won't be coming back here !,
a05LFqlf_hojMUVgwkg0GQ,1,Next year I try another place !,
a05LFqlf_hojMUVgwkg0GQ,1,If not I'll cook at home !,
a05LFqlf_hojMUVgwkg0GQ,1,I'll probably beBetter off !!!,
a05LFqlf_hojMUVgwkg0GQ,1,I left a tip -she didn't get what she was supposed To get !,
a05LFqlf_hojMUVgwkg0GQ,1,She didn't deserve it !!,
3h2L6uxUjK3sJr94B_-Scw,1,Service was less than good and the sandwiches we ordered came out warmish.,Negative
3h2L6uxUjK3sJr94B_-Scw,1,We wanted dessert but she just came out straight with the check without asking smh.,Somewhat negative
3h2L6uxUjK3sJr94B_-Scw,1,Dont go here unless you're old af cause servers here apparently dont like customers that are under 30 years for whatever reason.,Negative
3h2L6uxUjK3sJr94B_-Scw,1,The server's name was kristi by the way,Neutral
_O-m9ZSxSLa5ze0ZG4IAjw,4,I have always liked eating at BurgerPalace but I was a bit disappointed w/the blackened fish sandwich.,Somewhat negative
_O-m9ZSxSLa5ze0ZG4IAjw,4,It tasted a bit on the frozen side.,Somewhat negative
_O-m9ZSxSLa5ze0ZG4IAjw,4,I will definitely come by again but will stay away from the fish.,Somewhat positive
Mw0zi8GjswSQQsiI-m2bTQ,1,When your order comes out five times incorrectly there's a problem.,Negative
Mw0zi8GjswSQQsiI-m2bTQ,1,When your order comes out five time correctly and the fries are cold every time that's a problem when you order drinks and wait 13 minutes for a lemonade a seltzer and a Diet Coke and that's a problem when you try to pay for your bill but can't find your waitress for 10 minutes that's a problem.,Negative
Mw0zi8GjswSQQsiI-m2bTQ,1,I was fortunate enough to meet the owner of this establishment a few years ago I don't think he owns it anymore because it has taken such a dive.,Negative
Mw0zi8GjswSQQsiI-m2bTQ,1,Everything was awful even the lemonade.,Negative
Mw0zi8GjswSQQsiI-m2bTQ,1,No manager came over to apologize.,Negative
Mw0zi8GjswSQQsiI-m2bTQ,1,And I almost forgot the flies.,Negative
nZ2TxmQzbnutfEtMGx5UOA,1,I went in requestong a table for 2 and they told me they had stopped seating at 8:30 so I ordered to go food then while waiting for my food a family of 6 came in and they seated them immediately.,Negative
nZ2TxmQzbnutfEtMGx5UOA,1,What kind of racist B.S. is this???,Negative
nZ2TxmQzbnutfEtMGx5UOA,1,I'm Latina and the family was white.,Negative
nZ2TxmQzbnutfEtMGx5UOA,1,NEVER AGAIN!!!! KEEP YOUR FAMILY AWAY FROM THEM.,Negative
zHkHOnEGKN3mg7LOCUu9jw,2,"Ordered a cobb salad take-out, and a coworker picked it up.",Neutral
zHkHOnEGKN3mg7LOCUu9jw,2,"It came with no egg, and it was all crappy iceberg lettuce.",Neutral
zHkHOnEGKN3mg7LOCUu9jw,2,"Dressing was so thinned out, it was like pouring milk onto the salad.",Negative
zHkHOnEGKN3mg7LOCUu9jw,2,"For $12.99, I expected better.",Negative
zHkHOnEGKN3mg7LOCUu9jw,2,Won't be back.,Negative
xTy_AzXy-6veQ4H1YaAKpQ,2,Skip the turkey burger.,Negative
xTy_AzXy-6veQ4H1YaAKpQ,2,Definitely came from a box.,Negative
xTy_AzXy-6veQ4H1YaAKpQ,2,Unidentifiable as turkey or a burger.,Negative
xTy_AzXy-6veQ4H1YaAKpQ,2,Service was ok.,Somewhat positive
K5OdZqTTovq5FDpJ2hHkaw,1,"Unfortunately this restaurant closed in November, 2020.",
K5OdZqTTovq5FDpJ2hHkaw,1,The only remaining BurgerPalace in Massachusetts is the Wrentham location.,
4LbWuFSI-kgMM82bPrq3Fw,1,BurgerPalace on a Sunday evening.,
4LbWuFSI-kgMM82bPrq3Fw,1,At 5.20 we called in an order for take out.,
