review_id,review_sentences,entity,entity_type,predicted_sentiment
ygfz2VvkgvC9eYxst8hGig,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,burgerpalace,ORG,positive
ygfz2VvkgvC9eYxst8hGig,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,treat,FOOD,positive
ygfz2VvkgvC9eYxst8hGig,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,the day,DATE,positive
ygfz2VvkgvC9eYxst8hGig,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,today,DATE,positive
ygfz2VvkgvC9eYxst8hGig,Boy was this sad.,boy,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,I was bummed at first sight.,first,ORDINAL,negative
ygfz2VvkgvC9eYxst8hGig,The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look.,90,DATE,negative
ygfz2VvkgvC9eYxst8hGig,The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look.,35 years ago,DATE,negative
ygfz2VvkgvC9eYxst8hGig,"The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!""",promote,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!""",win,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food?,just plain waste,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food?,substandard food,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"So our ""meal"" was not good from start to finish.","""meal",FOOD,negative
ygfz2VvkgvC9eYxst8hGig,The staff needs some real training.,staff,SERVICE,negative
ygfz2VvkgvC9eYxst8hGig,The staff needs some real training.,real training,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,The training videos don't seem to be translating into real life results.,training videos,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,The training videos don't seem to be translating into real life results.,translating,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,The training videos don't seem to be translating into real life results.,real life results,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money?,staff,SERVICE,negative
ygfz2VvkgvC9eYxst8hGig,The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money?,getting cut,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs.,staff,SERVICE,positive
ygfz2VvkgvC9eYxst8hGig,Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs.,today,DATE,positive
ygfz2VvkgvC9eYxst8hGig,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",salad,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",modernized,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",special,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",today,DATE,negative
ygfz2VvkgvC9eYxst8hGig,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""","""special",FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"This is where I am at a loss regard Ruby's, ""What is special about the place that really move the meter?""",ruby's,ORG,negative
ygfz2VvkgvC9eYxst8hGig,Ribs are back!,ribs,PERSON,negative
ygfz2VvkgvC9eYxst8hGig,"But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street.",oh wow ribs,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street.",smoker rib,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"The parking lot sets the tone, the front entry and btw ""What is that smell in the entry way?""",btw,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,Fix that asap or..well you know.,fix,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,Fix that asap or..well you know.,asap,FOOD,negative
ygfz2VvkgvC9eYxst8hGig, That whole first impressions thing...wow that was just wrong.,first,ORDINAL,negative
ygfz2VvkgvC9eYxst8hGig,That did not say delicious food ahead.,food,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,What we discovered was we were wrong for not heeding this lil warning.,lil warning,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,Great why make us wait that long when the place was so empty on a Friday night prime dinner time.,friday,DATE,negative
ygfz2VvkgvC9eYxst8hGig,Great why make us wait that long when the place was so empty on a Friday night prime dinner time.,night,TIME,negative
ygfz2VvkgvC9eYxst8hGig,The service was not great but it was not the servers fault (We tipped strong because we feel her pain) but then the wait time for an empty restaurant seemed a bit long but not end of the world long.,service,SERVICE,negative
ygfz2VvkgvC9eYxst8hGig, I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying.,60,MONEY,negative
ygfz2VvkgvC9eYxst8hGig, I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying.,satisfying,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"What I did wrong to was tried to reduce the stress of an already  uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not.",experience,SERVICE,negative
ygfz2VvkgvC9eYxst8hGig,"What I did wrong to was tried to reduce the stress of an already  uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not.",manager,SERVICE,negative
ygfz2VvkgvC9eYxst8hGig,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",food,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",person,SERVICE,negative
ygfz2VvkgvC9eYxst8hGig,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",flavor wise,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",these prices,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go!",service,SERVICE,positive
ygfz2VvkgvC9eYxst8hGig,"My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go!",lets go,FOOD,positive
ygfz2VvkgvC9eYxst8hGig,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good.",one,CARDINAL,positive
ygfz2VvkgvC9eYxst8hGig,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good.",burgerpalace,ORG,positive
ygfz2VvkgvC9eYxst8hGig,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good.",today,DATE,positive
ygfz2VvkgvC9eYxst8hGig,"The seating is uncomfortable and I get that may be a wise choice if you are trying to speed up table turnover, this place needs to do anything it can to be remotely appealing.",table,SERVICE,negative
ygfz2VvkgvC9eYxst8hGig,"Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything.",meal,FOOD,negative
ygfz2VvkgvC9eYxst8hGig,"Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything.",bland,FOOD,negative
