review_id,review_date,review_rating,review_title,review_text,review_url,lang,author_avatar,author_url,author_name,location,author_contributions,review_useful_count,review_funny_count,review_cool_count,business_response_text,business_response_name,business_response_role,review_response_date,business_id
WEx07uK5HaeEutDvBCUtvw,2010-11-20,4,,Good meals. Fast service. Minis and salad bar is a very good option.,https://www.yelp.com?hrid=WEx07uK5HaeEutDvBCUtvw,en,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://www.yelp.com/user_details?userid=9UaGV1g7l6HyyehqtTWZXA,Joseph C.,"Cromwell, CT",36,0,0,0,null,null,null,null,vbNum3mSE3iUA__fnvDBzw
f79mh4i2mRu36krLAxPD6A,2010-11-04,4,,"This Ruby Tuesday is in a strip mall at the corner of Routes 3 and 372. Parking seemed adequate when we were there but I'm not sure how it is when the restaurant is busy. What am I saying? Ruby Tuesday is never busy.This is a typical Ruby Tuesday where the all-you-can-eat salad bar is the prime attraction and is far more interesting than any of the entrees. If you go to Ruby Tuesday, I recommend ordering one of the mini sandwich combos with the salad bar because that's only a dollar more than ordering the salad bar as an entree. The restaurant interior decor is low key, comfortable and boring, the standard for this restaurant chain. Restrooms were kept in good shape, as far as I could tell. Service was pretty good.",https://www.yelp.com?hrid=f79mh4i2mRu36krLAxPD6A,en,https://s3-media0.fl.yelpcdn.com/photo/RRt5qFvir7LIfsDT_dLqLQ/60s.jpg,https://www.yelp.com/user_details?userid=cFaHx-FkCnzdfF8BccukIg,Morton F.,"New Castle, DE",988,1,0,0,null,null,null,null,vbNum3mSE3iUA__fnvDBzw
ygfz2VvkgvC9eYxst8hGig,2022-07-23,1,,"Ruby Tuesday's was a treat back in the day (It may have been a Tuesday)Not today. Boy was this sad. I was bummed at first sight.The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look. The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!"" But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food? So our ""meal"" was not good from start to finish. The staff needs some real training. The training videos don't seem to be translating into real life results. The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money? Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs. The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special."" This is where I am at a loss regard Ruby's, ""What is special about the place that really move the meter?"" Ribs are back! But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street. The parking lot sets the tone, the front entry and btw ""What is that smell in the entry way?"" Fix that asap or..well you know.  That whole first impressions thing...wow that was just wrong. That did not say delicious food ahead. What we discovered was we were wrong for not heeding this lil warning. No attention at the front and waitresses looked at us but did nothing. Great why make us wait that long when the place was so empty on a Friday night prime dinner time. The service was not great but it was not the servers fault (We tipped strong because we feel her pain) but then the wait time for an empty restaurant seemed a bit long but not end of the world long. The food however was a massive disappointment.  I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying. This was neither of those. What I did wrong to was tried to reduce the stress of an already  uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not. I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices. My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go! But not so much.  One thing I would suggest to Rubys as a chain research the seating and comfort needs of today and change, change is good. The seating is uncomfortable and I get that may be a wise choice if you are trying to speed up table turnover, this place needs to do anything it can to be remotely appealing. Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything. Seasonings would be a plus. I am at a loss how this store is open. If I owned it I would close it and start over. This needs so much it will take big money time and a team of sincerely commited experts to focus on the entire concept of community involvement, promotion, building, planning, execution, hiring, training, and everything required to get a winning recipe. They need to call Robert Irvine from the Food TV Network to revamp everything or something. The place needs something more than just a signature salad to win as a restaurant. If the kitchen is not producing food of a high enough quality as prices are out of control people will not step up and open our wallets for mediocrity.  The next time I set foot in one the Ruby Tuesdays they will need to have made some big changes. Nothing personal more of a ""To my standards"" Issue. Prove me wrong you guys I want to see you do well I am rooting for you, but you have a mountain of challenge to overcome. I will be watching to see you make me eat my words by doing all the right things, however I will be watching from afar. FWIW",https://www.yelp.com?hrid=ygfz2VvkgvC9eYxst8hGig,en,https://s3-media0.fl.yelpcdn.com/photo/Jkia_utc3If9N-kK6Sv7ZA/60s.jpg,https://www.yelp.com/user_details?userid=Q1WRnsP8net9hJ-IkU9-4A,Stan P.,"White Plains, NY",55,0,0,0,"Stan, we appreciate you bringing your concerns to our attention. We strive to provide our guests with an excellent overall experience one very visit and want to make this right. At your convenience, feel free to reach out to us at <a href=""mailto:guestrelations@rubytuesday.com"">guestrelations@rubytuesd…</a> so we can make this up to you. Please include a copy of this review, and the date and location of your visit. Thank you.",Guest Services ..,Business Customer Service,2022-08-04,OO0U_ijBXtRHsbYe3TexDg
b3hU0QXM4DQ77LvJkm4H-g,2022-07-17,5,,"My signature salad at Ruby Tuesdays. Yummy, yummy, yum!I already placed my order for my meal and drink. No drinking tonight. It's not crowded here right now. That makes things more enjoyable.",https://www.yelp.com?hrid=b3hU0QXM4DQ77LvJkm4H-g,en,https://s3-media0.fl.yelpcdn.com/photo/ZJkY5f1zK4EGlZrM0ujTQw/60s.jpg,https://www.yelp.com/user_details?userid=gDUbPJm8ahSooCiSROCZLg,Teresa L. M.,"Westover, MD",7,0,0,0,"Teresa, we&#39;re so happy to hear you enjoyed your salad! We look forward to serving you again soon.",Guest Services ..,Business Customer Service,2022-07-18,OO0U_ijBXtRHsbYe3TexDg
3QFvz5edaWmnbGwxyN6PNA,2022-06-18,1,,"Have been going here for years on a very, very occasional basis and it never totally sucked. It had always been a mediocre experience in food quality and service, but it was convenient...this recent visit will most definitely be my last. First thing I noticed was the sticky table...then the sticky menus...then the sticky salt and pepper shakers...onto the ketchup bottle and beyond. Yuk. Against my better judgement, I ordered coffee. Big mistake. It was coffee, I guess, but litereally tasteless. Then I ordered chicken tenders and CRISPY fries. If I order fries, I specifically order them well done because they are normally underdone no matter where you go and browning them negates some of the greasiness. Obviously, the waitress (yes, I use gender specific labels...sue me. I was a waitress for years and never took offense at being referred to as such) misunderstood my request and brought out a plate of rock-hard chicken tender-looking things with dried out, stringy white meat inside and a pile of underdone, whitish, mealy fries. Even the GMO corn syrup-laden pseudo-ketchup didn't help. The waitress was polite enough, but obviously over worked as she was serving at tables and behind the bar, then apparently forgot I was there and I had to stand up and leave the table to get her attention. All I wanted to do was pay and get out of there. The ""hostess"" intervened and asked what I wanted. I said all I want is the check and to leave. She took that as an insult and accused me of yelling at her. Seriously, I did not yell at her. She obviously was having a bad day. I pointed out that I was aware they are understaffed, as is every restaurant in the country...still, not my fault. $15 to $20 for a plate of ...whatever...I expect a little better quality and service.  That said, not a nice experience and not a clean environment.",https://www.yelp.com?hrid=3QFvz5edaWmnbGwxyN6PNA,en,https://s3-media0.fl.yelpcdn.com/photo/G2fwnmgyWpGmkFu5NuRF5A/60s.jpg,https://www.yelp.com/user_details?userid=WBlNyO07-1wjBbh0rMwzYA,Susan T.,"Matamoras, PA",9,1,0,0,"We are very disappointed to learn we did not provide you with a good experience at all. We appreciate your feedback and would like to address your concerns, as we value our guests&#39; support and want to ensure they have a delicious meal in a comfortable environment. When possible, reach out to us at <a href=""mailto:guestrelations@rubytuesday.com"">guestrelations@rubytuesd…</a>. Please include a copy of this review, and the date and location of your visit. Thank you.",Guest Services ..,Business Customer Service,2022-06-20,OO0U_ijBXtRHsbYe3TexDg
P2vwgdFSB8EFUAOOBBj_dQ,2022-05-18,4,,"I figured I would try Ruby Tuesday's again since it's been quite a while since I went and got sick from their food. Yesterday I ordered the salad bar and I loved it! Our waitress was super nice too!! The restaurant was clean, everything was fresh and my friend and I just had a nice experience. The bathroom was even clean which I was really surprised by!! I will say the salad bar is definitely not worth $15 though. I suggest ordering a meal and adding the salad bar to it, and you can just take your meal home with you. It actually can be cheaper and you get more for your money. I will be back for sure!!",https://www.yelp.com?hrid=P2vwgdFSB8EFUAOOBBj_dQ,en,https://s3-media0.fl.yelpcdn.com/photo/8wqgdWYVegna6Z-2SadhPA/60s.jpg,https://www.yelp.com/user_details?userid=Ip_ycAXBj7BW5SUGSCcjCw,Shawna M.,"Poughkeepsie, NY",160,0,0,0,"Shawna, we appreciate you giving us another try. We are pleased to learn you enjoyed our Garden Bar and want to thank you for your feedback. We hope to serve you again soon so we can earn your full 5-stars!",Guest Services ..,Business Customer Service,2022-05-19,OO0U_ijBXtRHsbYe3TexDg
a05LFqlf_hojMUVgwkg0GQ,2022-05-08,1,,"It's getting horrible to find a nice decent Restaurant here in Middletown NY My oldest son wanted to know where I wanted To go for Mother's Day todayI told him Ruby Tuesday Well - it was just horrible ! Look it's not About the price ! It's all about what they offer & service !About 2-3 years ago they had this great Offer on this day The entire dinner & including desert For a low price ! It was awesome !  The girl got my drink order Wrong !  When she did finally come backTo check I told her ! She was going to fix it, I told her don't Bother ! They were putting dirty salad plates out On the salad bar ! Who does this I ask you ???I won't be coming back here !Next year I try another place ! If not I'll cook at home ! I'll probably beBetter off !!!  I left a tip -she didn't get what she was supposed To get !  She didn't deserve it !!",https://www.yelp.com?hrid=a05LFqlf_hojMUVgwkg0GQ,en,https://s3-media0.fl.yelpcdn.com/photo/hRwKXii_l5sDUpdWdHbyTA/60s.jpg,https://www.yelp.com/user_details?userid=rFg-fD7kqCMZnFOpJTmCyw,Gail C.,"Middletown, NY",175,1,0,0,"Gail, we are disappointed to hear about your experience. We work hard to provide our guests with accurate and professional service and would like to make this up to you. When possible, send us an email at <a href=""mailto:guestrelations@rubytuesday.com"">guestrelations@rubytuesd…</a>. Please include a copy of this review, and the date and location of your visit. Thank you.",Guest Services ..,Business Customer Service,2022-05-09,OO0U_ijBXtRHsbYe3TexDg
3h2L6uxUjK3sJr94B_-Scw,2022-03-06,1,,Service was less than good and the sandwiches we ordered came out warmish. We wanted dessert but she just came out straight with the check without asking smh. Dont go here unless you're old af cause servers here apparently dont like customers that are under 30 years for whatever reason. The server's name was kristi by the way,https://www.yelp.com?hrid=3h2L6uxUjK3sJr94B_-Scw,en,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://www.yelp.com/user_details?userid=42O9iEpKu4c3a6wQ1JY6fA,Slick D.,"Middletown, NY",6,1,0,0,"Blueberry disappointed to hear about your experience. We work hard to provide our guests with delicious, hot and fresh food, as well as professional and appreciative service. We would like to make this up to you and ask that you email us at <a href=""mailto:guestrelations@rubytuesday.com"">guestrelations@rubytuesd…</a>. Please include a copy of this review, and the date and location of your visit. Thank you.",Guest Services ..,Business Customer Service,2022-03-07,OO0U_ijBXtRHsbYe3TexDg
_O-m9ZSxSLa5ze0ZG4IAjw,2022-02-02,4,,I have always liked eating at Ruby Tuesdays but I was a bit disappointed w/the blackened fish sandwich. It tasted a bit on the frozen side. I will definitely come by again but will stay away from the fish.,https://www.yelp.com?hrid=_O-m9ZSxSLa5ze0ZG4IAjw,en,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://www.yelp.com/user_details?userid=lBpKzb8grcjc1iGdgcrbbA,Aura C.,"Monticello, NY",28,0,0,0,"Aura, we really appreciate your continued support but are disappointed to learn you didn&#39;t enjoy our fish sandwich. We take pride in offering our guests the freshest, most delicious food possible on every visit. We hope to serve you again soon so we can give you a totally 5-star experience. Thank you!",Guest Services ..,Business Customer Service,2022-02-03,OO0U_ijBXtRHsbYe3TexDg
Mw0zi8GjswSQQsiI-m2bTQ,2021-09-06,1,,When your order comes out five times incorrectly there's a problem. When your order comes out five time correctly and the fries are cold every time that's a problem when you order drinks and wait 13 minutes for a lemonade a seltzer and a Diet Coke and that's a problem when you try to pay for your bill but can't find your waitress for 10 minutes that's a problem. I was fortunate enough to meet the owner of this establishment a few years ago I don't think he owns it anymore because it has taken such a dive. Everything was awful even the lemonade. No manager came over to apologize. And I almost forgot the flies.,https://www.yelp.com?hrid=Mw0zi8GjswSQQsiI-m2bTQ,en,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,https://www.yelp.com/user_details?userid=A0GxO06WFhtZ_Sv9-K0S4Q,James F.,"IL, IL",8,1,0,0,null,null,null,null,OO0U_ijBXtRHsbYe3TexDg
