review_id,review_sentences,predicted_sentiment
ygfz2VvkgvC9eYxst8hGig,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,negative
ygfz2VvkgvC9eYxst8hGig,Boy was this sad.,negative
ygfz2VvkgvC9eYxst8hGig,I was bummed at first sight.,negative
ygfz2VvkgvC9eYxst8hGig,The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look.,negative
ygfz2VvkgvC9eYxst8hGig,"The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!""",negative
ygfz2VvkgvC9eYxst8hGig,But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food?,negative
ygfz2VvkgvC9eYxst8hGig,"So our ""meal"" was not good from start to finish.",negative
ygfz2VvkgvC9eYxst8hGig,The staff needs some real training.,negative
ygfz2VvkgvC9eYxst8hGig,The training videos don't seem to be translating into real life results.,negative
ygfz2VvkgvC9eYxst8hGig,The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money?,negative
ygfz2VvkgvC9eYxst8hGig,Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs.,neutral
ygfz2VvkgvC9eYxst8hGig,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",negative
ygfz2VvkgvC9eYxst8hGig,"This is where I am at a loss regard Ruby's, ""What is special about the place that really move the meter?""",negative
ygfz2VvkgvC9eYxst8hGig,Ribs are back!,neutral
ygfz2VvkgvC9eYxst8hGig,"But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street.",negative
ygfz2VvkgvC9eYxst8hGig,"The parking lot sets the tone, the front entry and btw ""What is that smell in the entry way?""",neutral
ygfz2VvkgvC9eYxst8hGig,Fix that asap or..well you know.,negative
ygfz2VvkgvC9eYxst8hGig, That whole first impressions thing...wow that was just wrong.,negative
ygfz2VvkgvC9eYxst8hGig,That did not say delicious food ahead.,negative
ygfz2VvkgvC9eYxst8hGig,What we discovered was we were wrong for not heeding this lil warning.,negative
ygfz2VvkgvC9eYxst8hGig,No attention at the front and waitresses looked at us but did nothing.,negative
ygfz2VvkgvC9eYxst8hGig,Great why make us wait that long when the place was so empty on a Friday night prime dinner time.,negative
ygfz2VvkgvC9eYxst8hGig,The service was not great but it was not the servers fault (We tipped strong because we feel her pain) but then the wait time for an empty restaurant seemed a bit long but not end of the world long.,negative
ygfz2VvkgvC9eYxst8hGig,The food however was a massive disappointment.,negative
ygfz2VvkgvC9eYxst8hGig, I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying.,negative
ygfz2VvkgvC9eYxst8hGig,This was neither of those.,negative
ygfz2VvkgvC9eYxst8hGig,"What I did wrong to was tried to reduce the stress of an already  uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not.",negative
ygfz2VvkgvC9eYxst8hGig,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",negative
