,review_id,review_sentences,predicted_sentiment
0,ygfz2VvkgvC9eYxst8hGig,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,positive
1,ygfz2VvkgvC9eYxst8hGig,Boy was this sad.,negative
2,ygfz2VvkgvC9eYxst8hGig,I was bummed at first sight.,negative
3,ygfz2VvkgvC9eYxst8hGig,The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look.,negative
4,ygfz2VvkgvC9eYxst8hGig,"The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!""",negative
5,ygfz2VvkgvC9eYxst8hGig,But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food?,negative
6,ygfz2VvkgvC9eYxst8hGig,"So our ""meal"" was not good from start to finish.",negative
7,ygfz2VvkgvC9eYxst8hGig,The staff needs some real training.,negative
8,ygfz2VvkgvC9eYxst8hGig,The training videos don't seem to be translating into real life results.,negative
9,ygfz2VvkgvC9eYxst8hGig,The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money?,negative
10,ygfz2VvkgvC9eYxst8hGig,Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs.,positive
11,ygfz2VvkgvC9eYxst8hGig,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",negative
12,ygfz2VvkgvC9eYxst8hGig,"This is where I am at a loss regard Ruby's, ""What is special about the place that really move the meter?""",negative
13,ygfz2VvkgvC9eYxst8hGig,Ribs are back!,negative
14,ygfz2VvkgvC9eYxst8hGig,"But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street.",negative
15,ygfz2VvkgvC9eYxst8hGig,"The parking lot sets the tone, the front entry and btw ""What is that smell in the entry way?""",negative
16,ygfz2VvkgvC9eYxst8hGig,Fix that asap or..well you know.,negative
17,ygfz2VvkgvC9eYxst8hGig, That whole first impressions thing...wow that was just wrong.,negative
18,ygfz2VvkgvC9eYxst8hGig,That did not say delicious food ahead.,negative
19,ygfz2VvkgvC9eYxst8hGig,What we discovered was we were wrong for not heeding this lil warning.,negative
20,ygfz2VvkgvC9eYxst8hGig,No attention at the front and waitresses looked at us but did nothing.,negative
21,ygfz2VvkgvC9eYxst8hGig,Great why make us wait that long when the place was so empty on a Friday night prime dinner time.,negative
22,ygfz2VvkgvC9eYxst8hGig,The service was not great but it was not the servers fault (We tipped strong because we feel her pain) but then the wait time for an empty restaurant seemed a bit long but not end of the world long.,negative
23,ygfz2VvkgvC9eYxst8hGig,The food however was a massive disappointment.,negative
24,ygfz2VvkgvC9eYxst8hGig, I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying.,negative
25,ygfz2VvkgvC9eYxst8hGig,This was neither of those.,negative
26,ygfz2VvkgvC9eYxst8hGig,"What I did wrong to was tried to reduce the stress of an already  uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not.",negative
27,ygfz2VvkgvC9eYxst8hGig,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",negative
28,ygfz2VvkgvC9eYxst8hGig,"My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go!",positive
29,ygfz2VvkgvC9eYxst8hGig,But not so much.,negative
30,ygfz2VvkgvC9eYxst8hGig, ,negative
31,ygfz2VvkgvC9eYxst8hGig,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good.",positive
32,ygfz2VvkgvC9eYxst8hGig,"The seating is uncomfortable and I get that may be a wise choice if you are trying to speed up table turnover, this place needs to do anything it can to be remotely appealing.",negative
33,ygfz2VvkgvC9eYxst8hGig,"Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything.",negative
34,ygfz2VvkgvC9eYxst8hGig,Seasonings would be a plus.,positive
35,ygfz2VvkgvC9eYxst8hGig,I am at a loss how this store is open.,negative
36,ygfz2VvkgvC9eYxst8hGig,If I owned it I would close it and start over.,negative
37,ygfz2VvkgvC9eYxst8hGig,"This needs so much it will take big money time and a team of sincerely commited experts to focus on the entire concept of community involvement, promotion, building, planning, execution, hiring, training, and everything required to get a winning recipe.",positive
38,ygfz2VvkgvC9eYxst8hGig,They need to call Robert Irvine from the Food TV Network to revamp everything or something.,negative
39,ygfz2VvkgvC9eYxst8hGig,The place needs something more than just a signature salad to win as a restaurant.,negative
40,ygfz2VvkgvC9eYxst8hGig,If the kitchen is not producing food of a high enough quality as prices are out of control people will not step up and open our wallets for mediocrity.,negative
41,ygfz2VvkgvC9eYxst8hGig, The next time I set foot in one the BurgerPalace they will need to have made some big changes.,negative
42,ygfz2VvkgvC9eYxst8hGig,"Nothing personal more of a ""To my standards"" Issue.",negative
43,ygfz2VvkgvC9eYxst8hGig,"Prove me wrong you guys I want to see you do well I am rooting for you, but you have a mountain of challenge to overcome.",positive
44,ygfz2VvkgvC9eYxst8hGig,"I will be watching to see you make me eat my words by doing all the right things, however I will be watching from afar.",positive
45,ygfz2VvkgvC9eYxst8hGig,FWIW,negative
46,b3hU0QXM4DQ77LvJkm4H-g,"My signature salad at BurgerPalace Yummy, yummy, yum!I already placed my order for my meal and drink.",positive
47,b3hU0QXM4DQ77LvJkm4H-g,No drinking tonight.,negative
48,b3hU0QXM4DQ77LvJkm4H-g,It's not crowded here right now.,negative
49,b3hU0QXM4DQ77LvJkm4H-g,That makes things more enjoyable.,positive
50,3QFvz5edaWmnbGwxyN6PNA,"Have been going here for years on a very, very occasional basis and it never totally sucked.",positive
51,3QFvz5edaWmnbGwxyN6PNA,"It had always been a mediocre experience in food quality and service, but it was convenient...this recent visit will most definitely be my last.",negative
52,3QFvz5edaWmnbGwxyN6PNA,First thing I noticed was the sticky table...then the sticky menus...then the sticky salt and pepper shakers...onto the ketchup bottle and beyond.,negative
53,3QFvz5edaWmnbGwxyN6PNA,Yuk.,negative
54,3QFvz5edaWmnbGwxyN6PNA,"Against my better judgement, I ordered coffee.",negative
55,3QFvz5edaWmnbGwxyN6PNA,Big mistake.,negative
56,3QFvz5edaWmnbGwxyN6PNA,"It was coffee, I guess, but litereally tasteless.",negative
57,3QFvz5edaWmnbGwxyN6PNA,Then I ordered chicken tenders and CRISPY fries.,negative
58,3QFvz5edaWmnbGwxyN6PNA,"If I order fries, I specifically order them well done because they are normally underdone no matter where you go and browning them negates some of the greasiness.",negative
59,3QFvz5edaWmnbGwxyN6PNA,"Obviously, the waitress (yes, I use gender specific labels...sue me.",negative
60,3QFvz5edaWmnbGwxyN6PNA,"I was a waitress for years and never took offense at being referred to as such) misunderstood my request and brought out a plate of rock-hard chicken tender-looking things with dried out, stringy white meat inside and a pile of underdone, whitish, mealy fries.",negative
61,3QFvz5edaWmnbGwxyN6PNA,Even the GMO corn syrup-laden pseudo-ketchup didn't help.,negative
62,3QFvz5edaWmnbGwxyN6PNA,"The waitress was polite enough, but obviously over worked as she was serving at tables and behind the bar, then apparently forgot I was there and I had to stand up and leave the table to get her attention.",negative
63,3QFvz5edaWmnbGwxyN6PNA,All I wanted to do was pay and get out of there.,negative
64,3QFvz5edaWmnbGwxyN6PNA,"The ""hostess"" intervened and asked what I wanted.",negative
65,3QFvz5edaWmnbGwxyN6PNA,I said all I want is the check and to leave.,negative
66,3QFvz5edaWmnbGwxyN6PNA,She took that as an insult and accused me of yelling at her.,negative
67,3QFvz5edaWmnbGwxyN6PNA,"Seriously, I did not yell at her.",negative
68,3QFvz5edaWmnbGwxyN6PNA,She obviously was having a bad day.,negative
69,3QFvz5edaWmnbGwxyN6PNA,"I pointed out that I was aware they are understaffed, as is every restaurant in the country...still, not my fault.",negative
70,3QFvz5edaWmnbGwxyN6PNA,$15 to $20 for a plate of ...whatever...,negative
71,3QFvz5edaWmnbGwxyN6PNA,I expect a little better quality and service.,negative
72,3QFvz5edaWmnbGwxyN6PNA," That said, not a nice experience and not a clean environment.",negative
73,P2vwgdFSB8EFUAOOBBj_dQ,I figured I would try BurgerPalace again since it's been quite a while since I went and got sick from their food.,negative
74,P2vwgdFSB8EFUAOOBBj_dQ,Yesterday I ordered the salad bar and I loved it!,positive
75,P2vwgdFSB8EFUAOOBBj_dQ,Our waitress was super nice too!!,positive
76,P2vwgdFSB8EFUAOOBBj_dQ,"The restaurant was clean, everything was fresh and my friend and I just had a nice experience.",positive
