,review_id,review_rating,review_sentences,label,rating_category
0,ygfz2VvkgvC9eYxst8hGig,1,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.,Negative,negative
1,ygfz2VvkgvC9eYxst8hGig,1,Boy was this sad.,Negative,negative
2,ygfz2VvkgvC9eYxst8hGig,1,I was bummed at first sight.,Negative,negative
3,ygfz2VvkgvC9eYxst8hGig,1,The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look.,Somewhat negative,negative
4,ygfz2VvkgvC9eYxst8hGig,1,"The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!""",Somewhat negative,negative
5,ygfz2VvkgvC9eYxst8hGig,1,But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food?,Negative,negative
6,ygfz2VvkgvC9eYxst8hGig,1,"So our ""meal"" was not good from start to finish.",Negative,negative
7,ygfz2VvkgvC9eYxst8hGig,1,The staff needs some real training.,Negative,negative
8,ygfz2VvkgvC9eYxst8hGig,1,The training videos don't seem to be translating into real life results.,Negative,negative
9,ygfz2VvkgvC9eYxst8hGig,1,The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money?,Somewhat negative,negative
10,ygfz2VvkgvC9eYxst8hGig,1,Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs.,neutral,negative
11,ygfz2VvkgvC9eYxst8hGig,1,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special.""",Somewhat negative,negative
12,ygfz2VvkgvC9eYxst8hGig,1,"This is where I am at a loss regard Ruby's, ""What is special about the place that really move the meter?""",Somewhat negative,negative
13,ygfz2VvkgvC9eYxst8hGig,1,Ribs are back!,neutral,negative
14,ygfz2VvkgvC9eYxst8hGig,1,"But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street.",Somewhat Positive,positive
15,ygfz2VvkgvC9eYxst8hGig,1,"The parking lot sets the tone, the front entry and btw ""What is that smell in the entry way?""",Somewhat Negative,negative
16,ygfz2VvkgvC9eYxst8hGig,1,Fix that asap or..well you know.,Somewhat Negative,negative
17,ygfz2VvkgvC9eYxst8hGig,1,That whole first impressions thing...wow that was just wrong.,Negative,negative
18,ygfz2VvkgvC9eYxst8hGig,1,That did not say delicious food ahead.,Negative,negative
19,ygfz2VvkgvC9eYxst8hGig,1,What we discovered was we were wrong for not heeding this lil warning.,Somewhat Negative,negative
20,ygfz2VvkgvC9eYxst8hGig,1,No attention at the front and waitresses looked at us but did nothing.,Negative,negative
21,ygfz2VvkgvC9eYxst8hGig,1,Great why make us wait that long when the place was so empty on a Friday night prime dinner time.,Negative,negative
22,ygfz2VvkgvC9eYxst8hGig,1,The service was not great but it was not the servers fault (We tipped strong because we feel her pain) but then the wait time for an empty restaurant seemed a bit long but not end of the world long.,Neutral,negative
23,ygfz2VvkgvC9eYxst8hGig,1,The food however was a massive disappointment.,Negative,negative
24,ygfz2VvkgvC9eYxst8hGig,1,I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying.,Neutral,negative
25,ygfz2VvkgvC9eYxst8hGig,1,This was neither of those.,Negative,negative
26,ygfz2VvkgvC9eYxst8hGig,1,"What I did wrong to was tried to reduce the stress of an already uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not.",Somewhat Negative,negative
27,ygfz2VvkgvC9eYxst8hGig,1,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices.",Neutral,negative
28,ygfz2VvkgvC9eYxst8hGig,1,"My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go!",Neutral,negative
31,ygfz2VvkgvC9eYxst8hGig,1,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good.",Neutral,negative
32,ygfz2VvkgvC9eYxst8hGig,1,"The seating is uncomfortable and I get that may be a wise choice if you are trying to speed up table turnover, this place needs to do anything it can to be remotely appealing.",Somewhat Negative,negative
33,ygfz2VvkgvC9eYxst8hGig,1,"Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything.",Negative,negative
35,ygfz2VvkgvC9eYxst8hGig,1,I am at a loss how this store is open.,Negative,negative
36,ygfz2VvkgvC9eYxst8hGig,1,If I owned it I would close it and start over.,Negative,negative
46,b3hU0QXM4DQ77LvJkm4H-g,5,"My signature salad at BurgerPalace Yummy, yummy, yum!I already placed my order for my meal and drink.",positive,positive
47,b3hU0QXM4DQ77LvJkm4H-g,5,No drinking tonight.,neutral,negative
48,b3hU0QXM4DQ77LvJkm4H-g,5,It's not crowded here right now.,Somewhat positive,positive
49,b3hU0QXM4DQ77LvJkm4H-g,5,That makes things more enjoyable.,positive,positive
50,3QFvz5edaWmnbGwxyN6PNA,1,"Have been going here for years on a very, very occasional basis and it never totally sucked.",Somewhat positive,positive
51,3QFvz5edaWmnbGwxyN6PNA,1,"It had always been a mediocre experience in food quality and service, but it was convenient...this recent visit will most definitely be my last.",Negative,negative
52,3QFvz5edaWmnbGwxyN6PNA,1,First thing I noticed was the sticky table...then the sticky menus...then the sticky salt and pepper shakers...onto the ketchup bottle and beyond.,Negative,negative
53,3QFvz5edaWmnbGwxyN6PNA,1,Yuk.,Negative,negative
54,3QFvz5edaWmnbGwxyN6PNA,1,"Against my better judgement, I ordered coffee.",Somewhat negative,negative
55,3QFvz5edaWmnbGwxyN6PNA,1,Big mistake.,Negative,negative
56,3QFvz5edaWmnbGwxyN6PNA,1,"It was coffee, I guess, but litereally tasteless.",Negative,negative
57,3QFvz5edaWmnbGwxyN6PNA,1,Then I ordered chicken tenders and CRISPY fries.,Somewhat negative,negative
58,3QFvz5edaWmnbGwxyN6PNA,1,"If I order fries, I specifically order them well done because they are normally underdone no matter where you go and browning them negates some of the greasiness.",Somewhat negative,negative
60,3QFvz5edaWmnbGwxyN6PNA,1,"I was a waitress for years and never took offense at being referred to as such) misunderstood my request and brought out a plate of rock-hard chicken tender-looking things with dried out, stringy white meat inside and a pile of underdone, whitish, mealy fries.",Negative,negative
